Name	Type
EFM192A_BREAST	EFM192A	BREAST
EVSAT_BREAST	EVSAT	BREAST
MDAMB453_BREAST	MDAMB453	BREAST
MDAMB231_BREAST	MDAMB231	BREAST
MDAMB468_BREAST	MDAMB468	BREAST
BT549_BREAST	BT549	BREAST
CAL851_BREAST	CAL851	BREAST
EFM19_BREAST	EFM19	BREAST
BT474_BREAST	BT474	BREAST
HS606T_BREAST	HS606T	BREAST
MDAMB415_BREAST	MDAMB415	BREAST
AU565_BREAST	AU565	BREAST
HS578T_BREAST	HS578T	BREAST
BT20_BREAST	BT20	BREAST
MDAMB361_BREAST	MDAMB361	BREAST
MDAMB436_BREAST	MDAMB436	BREAST
SKBR3_BREAST	SKBR3	BREAST
HCC1143_BREAST	HCC1143	BREAST
HCC1937_BREAST	HCC1937	BREAST
HCC1569_BREAST	HCC1569	BREAST
HCC1395_BREAST	HCC1395	BREAST
HCC1187_BREAST	HCC1187	BREAST
HCC2218_BREAST	HCC2218	BREAST
HCC1954_BREAST	HCC1954	BREAST
CAMA1_BREAST	CAMA1	BREAST
HMC18_BREAST	HMC18	BREAST
HCC2157_BREAST	HCC2157	BREAST
HS739T_BREAST	HS739T	BREAST
HCC38_BREAST	HCC38	BREAST
DU4475_BREAST	DU4475	BREAST
MDAMB175VII_BREAST	MDAMB175VII	BREAST
YMB1_BREAST	YMB1	BREAST
T47D_BREAST	T47D	BREAST
ZR751_BREAST	ZR751	BREAST
HCC70_BREAST	HCC70	BREAST
MCF7_BREAST	MCF7	BREAST
HCC202_BREAST	HCC202	BREAST
MDAMB157_BREAST	MDAMB157	BREAST
HCC1419_BREAST	HCC1419	BREAST
BT483_BREAST	BT483	BREAST
HS281T_BREAST	HS281T	BREAST
HCC1428_BREAST	HCC1428	BREAST
HS274T_BREAST	HS274T	BREAST
ZR7530_BREAST	ZR7530	BREAST
HS343T_BREAST	HS343T	BREAST
CAL51_BREAST	CAL51	BREAST
CAL120_BREAST	CAL120	BREAST
JIMT1_BREAST	JIMT1	BREAST
HCC1806_BREAST	HCC1806	BREAST
UACC812_BREAST	UACC812	BREAST
CAL148_BREAST	CAL148	BREAST
MDAMB134VI_BREAST	MDAMB134VI	BREAST
HCC1500_BREAST	HCC1500	BREAST
HCC1599_BREAST	HCC1599	BREAST
UACC893_BREAST	UACC893	BREAST
HDQP1_BREAST	HDQP1	BREAST
HS742T_BREAST	HS742T	BREAST
KPL1_BREAST	KPL1	BREAST
HMEL_BREAST	HMEL	BREAST
LN18_CENTRAL_NERVOUS_SYSTEM	LN18	CENTRAL_NERVOUS_SYSTEM
T98G_CENTRAL_NERVOUS_SYSTEM	T98G	CENTRAL_NERVOUS_SYSTEM
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG	CENTRAL_NERVOUS_SYSTEM
A172_CENTRAL_NERVOUS_SYSTEM	A172	CENTRAL_NERVOUS_SYSTEM
SF295_CENTRAL_NERVOUS_SYSTEM	SF295	CENTRAL_NERVOUS_SYSTEM
M059K_CENTRAL_NERVOUS_SYSTEM	M059K	CENTRAL_NERVOUS_SYSTEM
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3	CENTRAL_NERVOUS_SYSTEM
GI1_CENTRAL_NERVOUS_SYSTEM	GI1	CENTRAL_NERVOUS_SYSTEM
U87MG_CENTRAL_NERVOUS_SYSTEM	U87MG	CENTRAL_NERVOUS_SYSTEM
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOGGCCM	CENTRAL_NERVOUS_SYSTEM
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS10	CENTRAL_NERVOUS_SYSTEM
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG	CENTRAL_NERVOUS_SYSTEM
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB19	CENTRAL_NERVOUS_SYSTEM
